,1,2,3,4,5,6
103,13,14,10,15,14,9
104,14,13,17,13,7,14
105,14,13,12,11,16,12
106,11,12,17,11,18,14
107,14,16,17,14,8,14
108,14,18,13,12,11,16
109,14,12,16,15,11,11
110,11,15,17,9,7,14
111,15,11,7,14,18,12
112,9,13,11,9,7,16
113,16,13,6,14,15,10
114,13,14,13,15,13,17
115,18,14,13,14,16,12
116,13,16,13,15,14,12
117,13,12,8,12,14,18
118,18,14,12,14,16,12
119,14,16,18,13,10,9
120,14,18,12,15,16,13
121,13,15,15,18,17,11
122,14,13,16,11,14,13
123,15,14,17,13,14,13
124,10,14,15,16,14,15
125,9,12,16,10,10,12
126,14,18,13,14,15,11
127,16,15,15,17,12,13
128,11,13,15,13,13,15
129,9,16,13,16,15,15
130,12,11,15,11,6,15
131,13,14,14,17,9,17
132,13,12,16,11,13,9
133,13,13,11,17,15,12
134,12,15,13,16,13,9
135,15,15,12,14,12,11
136,14,14,7,16,15,11
137,16,10,6,13,14,15
138,16,17,12,13,14,15
139,14,14,11,15,16,17
140,13,8,13,13,16,9
141,14,16,14,17,12,6
142,15,16,11,15,11,14
143,15,12,12,18,10,7
144,12,13,16,7,11,14
145,11,15,13,14,12,15
146,13,13,13,11,13,13
147,14,13,13,14,16,15
148,13,11,8,16,16,16
149,13,15,8,10,11,11
150,17,12,16,15,13,13
151,15,17,17,14,13,16
152,15,16,9,18,14,14
153,10,11,11,12,12,16
154,12,5,10,18,13,11
155,15,17,16,14,17,16
156,13,15,15,13,17,12
157,10,15,12,16,17,13
158,16,14,17,14,12,10
159,10,15,14,12,12,11
160,15,10,11,11,9,15
161,11,13,16,13,13,10
162,17,7,7,15,16,14
163,17,16,15,16,9,10
164,13,16,17,11,11,15
165,14,7,15,15,17,11
166,13,13,6,17,13,17
167,12,13,17,14,11,12
168,15,12,16,11,10,13
169,12,13,17,14,9,9
170,12,17,13,16,12,16
171,14,14,14,12,13,14
172,15,12,18,18,10,16
173,12,8,15,11,14,9
174,12,11,17,12,15,17
175,17,11,16,15,16,13
176,12,9,13,13,15,16
177,13,15,13,15,12,16
178,13,17,11,16,13,10
179,5,15,12,16,13,9
180,11,15,17,16,15,10
181,16,10,16,16,14,14
182,17,14,10,15,13,9
183,11,13,14,12,15,14
184,16,11,14,11,8,14
185,14,16,16,16,12,16
186,17,15,15,12,14,14
187,14,11,15,13,14,14
188,12,14,13,16,17,13
189,13,14,5,16,16,9
190,9,14,13,12,16,18
191,14,18,14,13,17,18
192,16,15,17,11,16,13
193,12,16,12,12,10,15
194,12,15,12,18,13,15
195,14,14,8,13,12,13
196,15,14,15,13,8,16
197,14,12,12,12,13,11
198,10,10,9,14,10,14
199,11,15,16,11,14,15
200,13,8,13,15,12,6
201,12,12,14,15,14,16
202,16,16,13,14,12,15
203,11,15,14,13,11,16
204,11,13,9,10,5,15
205,11,17,13,10,17,11
206,12,11,16,16,15,16
207,9,13,13,11,18,15
208,13,16,15,12,14,13
209,7,14,6,10,13,13
210,16,12,15,14,12,11
211,12,17,18,16,16,6
212,15,16,10,14,15,15
213,13,11,8,12,13,10
214,10,14,11,15,12,12
215,14,13,11,7,14,11
216,8,14,11,16,12,14
217,16,12,18,16,17,12
218,17,14,16,9,14,10
219,12,11,9,17,14,14
220,14,12,14,10,13,16
221,9,15,15,10,13,16
222,10,10,11,14,15,13
223,12,14,14,14,9,16
224,16,16,14,17,17,9
225,17,15,13,13,15,16
226,17,13,14,15,16,11
227,13,12,17,12,17,12
228,13,17,14,17,14,15
229,17,17,15,9,11,12
230,18,12,14,10,17,13
231,13,14,15,18,17,15
232,14,12,18,17,18,14
233,17,16,14,18,11,14
234,13,15,16,13,12,9
235,16,5,18,14,8,15
236,16,15,10,15,18,12
237,16,15,10,12,13,15
238,16,13,15,15,16,10
239,16,11,9,11,14,15
240,14,16,7,11,16,10
241,13,11,14,13,10,12
242,13,17,11,11,16,10
243,10,14,16,17,8,15
244,15,16,13,14,13,16
245,7,15,14,16,14,14
246,17,13,17,12,13,8
247,11,14,15,9,17,14
248,13,12,11,7,12,15
249,16,11,13,10,14,15
250,12,15,12,11,13,11
251,12,12,15,9,14,12
252,11,10,11,14,11,11
253,14,17,11,17,17,15
254,13,15,14,10,14,15
255,11,13,16,13,14,10
256,17,16,13,15,14,13
257,12,15,9,16,10,15
258,9,15,13,17,13,10
259,14,11,15,15,16,13
260,14,14,14,12,16,16
261,17,10,14,12,14,12
262,13,11,12,16,10,10
263,15,11,13,10,17,10
264,14,11,17,16,9,9
265,10,13,13,13,9,14
266,9,10,12,18,17,10
267,9,11,11,8,15,12
268,14,10,15,13,15,16
269,11,15,13,15,13,17
270,9,15,14,17,16,10
271,16,10,17,17,9,15
272,17,16,16,16,16,16
273,16,18,18,13,14,14
274,16,11,14,16,15,8
275,16,15,12,12,12,14
276,15,9,7,14,15,6
277,11,13,10,12,17,12
278,16,15,12,11,13,17
279,15,15,13,12,16,14
280,14,16,17,7,11,13
281,18,17,12,15,11,12
282,14,14,15,12,10,12
283,7,16,13,13,17,9
284,14,10,13,12,12,10
285,16,14,15,11,13,13
286,13,15,11,16,15,15
287,15,9,8,17,15,18
288,10,15,12,17,11,17
289,17,12,16,14,10,13
290,9,13,14,16,14,13
291,6,15,12,12,12,12
292,11,13,11,14,15,13
293,14,18,16,17,16,17
294,13,14,14,16,15,14
295,11,16,16,16,15,10
296,14,12,17,17,7,12
297,15,15,13,18,12,15
298,15,16,16,15,17,10
299,11,15,6,14,12,17
300,17,11,12,15,16,13
301,18,9,12,13,14,10
302,12,11,9,13,15,12
303,11,8,16,9,14,10
304,14,17,17,13,8,13
305,13,9,15,9,15,13
306,14,12,14,14,11,11
307,15,11,13,12,6,10
308,10,14,14,10,10,14
309,18,12,13,12,16,10
310,18,16,15,14,11,13
311,14,8,14,13,17,12
312,14,16,11,12,16,16
313,15,10,10,12,11,10
314,15,16,10,15,15,16
315,15,15,15,13,9,12
316,15,14,17,14,10,8
317,14,11,14,13,14,16
318,13,11,14,16,14,12
319,11,12,13,15,15,11
320,14,8,18,17,17,12
321,16,11,14,9,17,13
322,12,17,10,13,14,17
323,10,12,18,13,13,15
324,18,16,15,14,10,14
325,13,10,12,13,17,16
326,10,14,15,16,15,17
327,15,12,15,14,9,10
328,12,7,7,9,15,17
329,16,15,14,9,13,17
330,14,12,10,16,15,8
331,10,16,12,15,16,14
332,16,13,13,16,17,15
333,12,10,8,12,16,18
334,10,15,16,13,12,14
335,12,11,14,16,15,14
336,17,17,16,18,16,17
337,17,15,17,14,14,16
338,13,10,12,15,15,11
339,13,7,18,10,17,17
340,17,14,16,15,16,13
341,15,12,11,10,15,15
342,14,13,13,15,15,16
343,9,15,15,14,8,13
344,15,14,15,17,14,14
345,10,16,12,16,18,12
346,10,13,13,14,14,10
347,16,17,9,13,14,10
348,9,14,9,13,11,17
349,15,16,17,15,9,15
350,14,15,13,12,6,16
351,11,12,16,8,11,13
352,11,15,10,16,15,15
353,13,12,7,13,14,14
354,15,9,11,15,11,15
355,16,14,10,12,11,13
356,18,16,12,17,10,18
357,11,14,17,14,11,13
358,11,16,14,11,15,10
359,9,15,16,13,15,11
360,15,11,17,11,13,13
361,16,13,12,13,10,16
362,13,12,9,13,12,16
363,13,11,13,13,14,11
364,12,14,13,15,12,15
365,10,16,15,16,13,15
366,8,15,11,12,10,16
367,13,14,13,15,9,6
368,11,10,13,16,15,10
369,16,7,11,10,15,16
370,12,13,14,11,9,17
371,9,16,16,8,15,17
372,15,12,11,15,17,15
373,15,12,12,17,14,15
374,15,13,8,16,15,13
375,14,12,12,13,12,9
376,13,18,11,15,10,18
377,11,12,13,15,15,14
378,14,12,10,15,7,13
379,15,15,14,13,15,13
380,17,12,13,12,15,11
381,16,11,16,10,12,10
382,16,13,13,13,8,15
383,16,13,18,15,15,9
384,17,15,15,17,15,10
385,15,12,9,11,17,11
386,13,14,14,15,9,15
387,13,16,15,12,16,12
388,15,14,13,15,13,17
389,14,14,8,11,16,17
390,12,10,18,14,8,18
391,14,14,16,13,17,11
392,12,13,17,16,16,14
393,16,12,12,15,13,8
394,15,10,12,11,13,12
395,16,17,15,10,14,12
396,11,14,16,15,10,6
397,14,16,13,16,10,10
398,13,13,15,17,9,18
399,17,14,14,11,15,14
400,12,16,14,15,12,8
401,17,14,13,12,16,15
402,9,11,17,11,14,13
403,12,11,11,10,13,13
404,12,14,10,17,12,14
405,15,14,13,13,14,13
406,13,15,16,17,12,10
407,12,10,15,9,12,16
408,14,9,14,9,11,16
409,15,11,16,13,14,16
410,15,12,15,16,15,16
411,10,16,15,11,13,15
412,14,14,10,12,8,13
413,14,16,16,15,10,16
414,13,9,15,13,14,17
415,14,12,16,12,15,11
416,17,9,13,17,11,12
417,10,16,15,12,15,12
418,17,13,11,12,16,13
419,12,18,15,15,16,13
420,16,15,14,13,13,9
421,17,13,16,17,10,10
422,14,16,12,14,10,14
423,14,13,14,17,18,15
424,8,17,12,13,14,12
425,14,15,14,11,12,16
426,12,17,14,15,12,16
427,15,17,14,12,14,13
428,14,15,16,15,8,13
429,15,18,14,17,12,13
430,14,9,12,14,12,15
431,12,14,14,13,14,16
432,16,18,14,12,8,12
433,16,14,11,13,13,12
434,12,13,14,12,9,15
435,15,13,17,16,12,12
436,11,17,8,14,17,10
437,13,14,13,12,18,12
438,16,16,16,15,16,10
439,15,11,16,13,13,14
440,12,10,16,17,11,16
441,16,9,15,15,14,12
442,15,15,14,12,14,18
443,13,14,18,15,12,14
444,12,15,14,10,15,14
445,10,11,10,13,13,18
446,16,17,13,11,14,14
447,16,16,12,12,9,15
448,13,16,15,13,11,12
449,10,14,14,13,16,6
450,13,13,15,15,16,9
451,13,14,16,13,13,9
452,11,16,16,15,14,15
453,15,11,14,5,10,16
454,10,9,12,15,12,11
455,14,16,13,14,15,17
456,18,14,12,13,14,13
457,9,15,17,13,16,12
458,15,14,17,10,13,14
459,15,8,16,10,12,11
460,15,16,13,8,15,7
461,16,9,15,13,11,9
462,16,17,11,8,12,16
463,16,8,13,11,15,11
464,16,13,10,9,14,8
465,14,14,15,13,17,10
466,7,16,10,10,13,11
467,13,12,12,15,14,13
468,17,17,10,14,12,15
469,15,16,10,16,15,16
470,6,9,15,14,11,11
471,14,16,12,16,13,14
472,12,11,16,10,15,15
473,14,14,15,13,12,15
474,15,13,18,11,14,14
475,13,12,16,10,12,12
476,12,12,11,11,17,14
477,11,10,17,15,14,10
478,14,11,13,8,9,17
479,12,11,13,14,10,13
480,17,12,12,18,14,14
481,12,9,18,16,17,10
482,15,14,14,8,9,11
483,16,15,8,13,8,13
484,13,16,11,12,14,14
485,7,11,16,16,18,14
486,17,13,16,16,14,15
487,15,13,11,15,16,13
488,14,16,10,10,15,14
489,14,13,9,12,11,12
490,8,16,15,16,13,16
491,6,7,11,16,12,11
492,13,11,12,15,14,14
493,14,11,15,14,17,11
494,15,13,13,18,10,15
495,11,14,12,18,15,16
496,13,12,17,16,14,15
497,17,12,15,11,11,14
498,14,15,10,10,12,12
499,13,15,12,10,11,15
500,12,13,15,17,15,17
501,15,11,14,17,8,15
502,13,7,13,16,15,16
503,13,14,11,16,16,15
504,15,11,16,13,17,10
505,14,10,13,13,14,15
506,18,11,10,14,11,11
507,16,16,16,15,14,12
508,12,13,17,17,15,17
509,13,14,16,17,8,11
510,14,12,14,17,16,13
511,13,9,14,15,15,10
512,12,13,15,13,8,14
513,15,12,14,13,12,17
514,9,12,13,11,15,13
515,12,12,9,9,12,14
516,15,16,14,17,12,16
517,14,9,14,16,16,13
518,16,11,12,17,15,14
519,11,16,13,14,14,12
520,17,5,16,16,14,16
521,17,15,16,15,13,12
522,13,18,14,14,10,10
523,12,15,17,16,12,13
524,14,15,17,14,15,16
525,16,18,13,13,15,9
526,14,10,13,16,16,12
527,14,17,10,12,16,17
528,17,17,9,16,12,14
529,12,18,18,17,15,12
530,15,13,14,8,14,14
531,14,16,10,15,11,14
532,12,15,12,10,8,15
533,15,15,12,14,11,17
534,16,11,14,14,14,15
535,16,13,14,10,15,14
536,14,13,12,14,12,8
537,14,15,14,17,13,12
538,9,8,18,12,13,11
539,14,15,9,11,17,14
540,15,11,11,13,12,15
541,11,9,12,11,13,10
542,9,9,18,10,15,12
543,13,14,16,13,10,11
544,15,14,9,14,13,17
545,10,13,15,14,11,16
546,15,15,13,12,10,13
547,14,14,18,12,14,9
548,16,14,10,7,16,17
549,12,13,16,13,13,10
550,15,10,15,13,5,15
551,10,16,8,14,17,14
552,11,14,17,17,17,13
553,16,13,16,12,16,13
554,14,14,12,16,16,16
555,13,15,15,13,14,11
556,12,14,13,16,15,17
557,11,13,16,12,6,15
558,13,17,14,14,11,14
559,11,12,15,12,11,11
560,14,15,15,13,15,17
561,12,8,10,9,17,14
562,12,16,17,18,12,10
563,17,11,15,14,13,11
564,14,11,13,11,11,14
565,16,15,16,15,17,16
566,10,16,14,14,18,10
567,14,13,16,15,13,14
568,11,7,8,14,14,12
569,13,7,13,17,11,11
570,13,9,14,17,14,13
571,13,12,12,12,18,15
572,14,14,9,11,16,15
573,15,14,14,16,14,11
574,11,11,16,16,12,12
575,10,14,14,14,13,15
576,13,16,11,12,14,14
577,17,10,13,13,12,12
578,15,15,10,18,14,13
579,16,15,11,10,15,16
580,11,18,17,11,17,15
581,16,17,12,15,17,12
582,11,10,12,16,16,12
583,16,16,16,8,11,16
584,11,17,13,12,10,12
585,9,13,10,12,11,15
586,17,13,15,13,14,16
587,17,12,11,14,14,14
588,15,12,16,14,13,11
589,15,16,11,16,17,11
590,8,13,14,17,14,14
591,11,18,17,17,15,9
592,9,11,10,17,10,9
593,12,15,9,9,11,13
594,15,14,7,11,11,13
595,11,16,11,16,14,11
596,14,14,13,14,17,7
597,16,15,13,13,17,11
598,10,14,10,14,16,16
599,15,17,16,11,13,12
600,11,15,14,13,15,13
601,15,15,17,14,17,11
602,9,17,13,17,12,12
603,11,15,12,18,17,13
604,10,16,13,11,11,14
605,16,8,14,13,18,11
606,8,15,14,16,14,11
607,16,18,12,18,12,14
608,14,14,14,15,10,18
609,15,9,14,11,10,14
610,8,11,16,9,15,16
611,16,12,10,12,13,15
612,13,10,12,14,12,14
613,13,13,8,10,8,14
614,11,13,12,16,15,17
615,14,16,16,10,13,14
616,13,11,15,9,8,15
617,14,10,16,13,14,10
618,16,18,8,11,11,8
619,15,14,10,11,13,13
620,16,15,8,14,15,15
621,15,16,5,18,18,16
622,10,10,18,15,16,15
623,14,15,17,14,10,11
624,10,14,10,15,17,14
625,11,15,12,14,15,15
626,11,14,14,15,13,11
627,10,18,15,11,14,17
628,15,18,17,15,12,16
629,9,16,15,14,12,14
630,15,17,13,13,14,16
631,13,12,17,13,9,14
632,15,15,14,16,11,14
633,15,15,16,15,16,17
634,13,11,15,16,12,10
635,16,16,13,16,13,12
636,16,14,13,16,14,9
637,8,18,17,15,15,13
638,16,13,18,16,15,15
639,13,16,11,17,11,13
640,11,15,16,15,13,13
641,17,13,18,10,10,17
642,14,15,16,13,13,14
643,17,12,13,14,16,13
644,12,14,13,11,12,15
645,9,14,18,13,11,17
646,11,13,14,13,12,12
647,16,10,13,13,12,10
648,15,6,14,12,10,11
649,14,12,14,15,8,15
650,10,9,15,17,13,14
651,11,16,12,14,14,16
652,12,16,16,14,15,18
653,15,9,18,16,11,15
654,11,11,16,13,12,16
655,14,11,17,17,14,13
656,16,16,16,16,17,12
657,8,12,16,15,14,9
658,14,9,17,11,14,8
659,12,9,17,15,7,10
660,12,15,15,11,10,14
661,16,17,12,12,14,15
662,9,11,14,14,17,16
663,14,11,14,13,11,16
664,17,11,16,13,15,13
665,13,13,16,12,15,15
666,11,10,12,17,16,13
667,16,14,15,10,17,15
668,17,12,11,12,11,14
669,13,5,9,11,10,16
670,14,12,14,13,14,13
671,14,17,10,13,13,12
672,17,15,13,15,12,15
673,11,17,15,4,16,15
674,12,16,10,13,13,13
675,7,10,9,14,11,14
676,11,11,13,17,12,16
677,12,17,13,10,17,12
678,16,10,14,12,18,15
679,13,9,12,12,12,14
680,16,15,16,16,13,15
681,13,15,15,11,10,15
682,12,14,13,8,10,15
683,13,13,12,7,13,14
684,14,12,11,13,16,16
685,16,13,13,13,9,11
686,9,11,8,10,14,17
687,12,11,16,15,14,18
688,16,14,9,14,18,15
689,4,15,12,12,13,13
690,15,11,15,13,14,16
691,15,8,16,13,17,16
692,16,18,18,14,16,17
693,12,11,15,11,15,15
694,14,13,11,15,14,8
695,15,13,13,16,8,17
696,15,13,11,10,16,9
697,15,16,13,16,17,16
698,15,15,14,15,11,13
699,15,16,12,14,13,10
700,16,18,14,12,18,12
701,13,15,7,10,17,17
702,15,13,12,16,10,13
703,12,14,15,14,13,17
704,6,10,15,15,13,15
705,13,15,14,11,16,14
706,16,10,15,12,16,17
707,13,11,17,16,13,17
708,17,6,13,17,13,10
709,16,13,12,15,14,15
710,13,12,14,14,18,14
711,9,15,14,10,15,17
712,13,13,14,15,12,12
713,14,9,12,12,10,16
714,10,9,16,12,17,7
715,13,9,12,14,15,11
716,15,12,12,14,11,11
717,10,14,12,10,6,15
718,10,17,9,12,14,12
719,16,12,16,13,13,8
720,12,16,15,16,16,12
721,10,16,9,13,12,13
722,13,14,16,14,16,17
723,16,15,17,13,13,11
724,10,12,12,16,15,15
725,8,17,16,12,13,13
726,13,15,12,14,16,15
727,14,11,14,12,14,16
728,15,8,15,15,11,13
729,10,15,10,16,8,13
730,11,11,7,15,14,11
731,12,15,16,14,11,12
732,12,11,11,15,18,15
733,13,16,16,14,16,16
734,9,13,13,18,14,15
735,13,18,16,13,15,14
736,15,12,14,16,12,12
737,15,17,12,9,14,14
738,14,14,14,10,17,15
739,11,14,10,16,18,12
740,14,12,12,17,15,9
741,15,15,14,14,11,17
742,15,12,16,13,10,14
743,12,10,9,14,14,17
744,13,14,18,14,17,14
745,12,13,11,14,16,16
746,16,12,14,13,11,11
747,11,11,14,12,7,13
748,10,11,14,10,16,9
749,14,13,7,13,16,15
750,16,15,13,14,11,14
751,15,10,15,16,10,14
752,15,14,15,12,10,11
753,8,17,12,14,11,12
754,11,12,13,12,10,18
755,14,12,15,15,15,18
756,13,16,16,15,11,17
757,14,17,13,11,16,16
758,12,13,16,4,14,13
759,15,16,14,13,13,15
760,17,13,14,18,7,15
761,17,14,9,11,13,17
762,9,15,11,11,16,14
763,13,13,11,14,15,14
764,14,16,16,13,17,14
765,12,17,6,11,11,14
766,16,14,10,18,13,12
767,12,15,18,11,13,16
768,14,13,18,15,10,12
769,11,14,14,13,8,13
770,16,13,14,16,16,15
771,16,14,11,12,14,11
772,16,14,17,13,11,8
773,18,12,14,8,14,17
774,14,15,9,7,15,16
775,18,14,15,15,14,16
776,17,17,15,14,15,14
777,14,16,15,15,11,15
778,16,15,15,12,14,11
779,14,14,9,16,18,16
780,6,15,14,14,8,17
781,14,8,15,15,10,13
782,14,8,14,12,17,10
783,15,13,14,15,10,14
784,15,13,14,16,15,13
785,16,15,17,10,18,14
786,9,10,14,14,16,11
787,18,11,16,13,12,14
788,12,17,14,14,8,11
789,16,11,8,14,12,12
790,15,16,17,7,15,8
791,10,12,16,15,16,15
792,8,12,14,14,17,17
793,12,11,13,13,12,13
794,15,15,14,14,14,12
795,16,11,15,16,10,14
796,13,16,11,12,14,7
797,17,10,13,15,16,16
798,13,9,11,10,14,11
799,12,14,17,12,10,8
800,8,16,13,10,14,10
801,15,16,16,13,12,12
802,17,7,13,14,12,9
803,14,16,9,11,15,15
804,13,17,13,14,16,14
805,17,14,15,12,14,14
806,7,17,13,9,16,12
807,10,14,11,17,16,11
808,12,13,12,13,12,13
809,14,14,14,4,17,15
810,17,10,11,11,17,9
811,10,15,15,13,16,15
812,14,15,12,14,13,12
813,17,12,16,16,17,12
814,17,15,10,13,12,17
815,11,15,11,15,11,11
816,16,12,14,17,15,11
817,18,17,15,12,17,18
818,12,13,12,15,12,13
819,6,10,11,11,12,13
820,13,14,13,14,15,12
821,14,16,17,16,11,13
822,17,15,13,14,9,16
823,14,9,15,15,14,15
824,14,15,8,18,18,11
825,17,15,14,11,12,16
826,11,18,15,10,12,13
827,12,15,10,13,16,13
828,11,11,17,17,16,15
829,15,12,8,14,16,12
830,8,16,15,15,14,13
831,17,12,12,15,14,12
832,12,16,14,10,12,16
833,11,10,15,16,13,16
834,12,14,17,13,16,13
835,17,15,12,14,17,17
836,15,12,8,12,10,11
837,18,12,14,11,16,6
838,12,14,17,13,16,12
839,17,13,18,13,16,18
840,10,15,11,18,13,9
841,14,14,14,17,12,12
842,15,16,10,16,11,15
843,17,11,13,14,15,15
844,16,10,13,13,14,11
845,15,18,13,11,14,13
846,15,13,12,14,14,15
847,14,18,16,12,11,10
848,16,9,14,8,11,15
849,14,14,15,13,17,12
850,15,16,13,17,16,9
851,9,11,12,13,17,15
852,16,15,17,15,16,7
853,12,12,16,14,13,6
854,12,12,12,11,10,12
855,13,16,12,14,16,18
856,14,13,15,16,13,15
857,12,13,15,15,14,16
858,12,14,14,15,11,16
859,12,10,13,11,18,12
860,16,10,14,9,18,9
861,11,15,15,17,16,9
862,14,10,17,15,13,9
863,15,14,13,15,11,7
864,18,18,13,12,15,14
865,9,14,11,17,14,12
866,15,15,14,10,12,15
867,10,15,7,14,12,13
868,11,14,11,10,13,15
869,18,9,11,7,15,15
870,13,12,11,16,9,13
871,14,15,14,13,9,11
872,14,12,14,13,15,17
873,12,15,14,15,14,13
874,14,17,11,9,12,16
875,9,14,10,8,15,16
876,10,9,16,15,16,14
877,15,14,12,15,17,14
878,16,9,16,8,12,12
879,7,16,15,12,13,13
880,10,12,15,12,14,14
881,12,13,15,17,13,15
882,17,17,10,9,11,13
883,13,12,8,9,9,14
884,16,12,17,10,15,15
885,13,12,14,18,14,10
886,11,17,14,10,10,10
887,14,16,14,10,13,17
888,10,16,11,12,9,12
889,9,14,13,14,12,9
890,16,15,16,12,13,16
891,12,11,12,18,16,15
892,11,15,13,15,12,14
893,15,12,11,15,12,16
894,11,17,8,17,8,16
895,17,8,14,16,15,15
896,9,10,13,16,14,16
897,11,11,15,9,13,16
898,17,15,16,16,9,15
899,7,14,14,12,10,14
900,17,17,14,14,12,13
901,16,14,12,16,10,12
902,12,15,16,17,13,18
903,13,16,18,10,8,14
904,17,15,10,17,16,10
905,12,10,13,15,12,13
906,16,14,12,12,13,14
907,15,16,14,12,12,16
908,14,17,18,12,10,15
909,11,12,13,17,13,13
910,10,14,8,13,14,14
911,11,9,18,10,16,16
912,13,14,13,12,12,15
913,12,14,12,15,9,13
914,12,14,17,14,11,15
915,13,14,13,17,9,7
916,14,7,13,16,15,10
917,8,16,17,13,10,15
918,11,18,17,14,13,15
919,11,16,17,17,15,15
920,12,15,13,11,17,14
921,14,14,14,15,12,14
922,13,13,12,14,12,14
923,14,14,15,14,13,12
924,11,14,16,14,15,7
925,11,13,16,13,14,13
926,13,13,16,13,15,16
927,16,14,16,8,11,14
928,14,14,12,10,13,17
929,17,12,13,12,9,14
930,17,11,16,12,14,12
931,8,14,11,12,15,12
932,17,17,13,16,12,14
933,10,16,15,13,15,15
934,11,14,8,13,14,16
935,11,15,17,13,17,8
936,12,10,8,16,17,15
937,8,14,18,16,5,17
938,11,16,12,12,12,15
939,11,15,16,13,13,15
940,15,11,10,12,15,15
941,17,14,16,17,12,13
942,14,13,17,14,15,16
943,12,15,13,13,14,11
944,12,13,3,11,13,9
945,10,13,16,10,16,12
946,17,15,16,14,16,18
947,14,10,15,14,11,13
948,8,12,14,14,13,9
949,11,18,14,12,10,16
950,17,16,15,14,11,10
951,13,14,13,17,12,16
952,9,15,14,17,11,9
953,15,16,17,14,11,14
954,14,11,12,16,12,15
955,18,12,18,13,14,13
956,14,15,13,16,17,17
957,11,14,13,14,13,17
958,9,14,15,12,17,15
959,17,14,13,15,15,16
960,13,14,13,6,14,17
961,13,10,18,17,13,11
962,13,9,10,12,15,7
963,16,10,14,16,18,15
964,11,9,16,14,15,15
965,13,14,13,16,17,15
966,18,16,15,16,14,17
967,17,13,15,10,10,13
968,16,16,9,18,11,15
969,15,14,15,12,12,17
970,12,11,17,15,12,15
971,11,7,13,9,14,14
972,16,15,11,16,14,13
973,13,14,13,16,8,13
974,8,12,15,16,9,13
975,16,17,13,6,15,14
976,15,16,12,11,13,15
977,12,9,15,11,18,6
978,12,18,14,18,11,16
979,16,12,17,8,8,13
980,10,15,15,16,13,10
981,13,11,10,13,16,14
982,14,10,13,14,11,9
983,16,14,10,14,16,13
984,11,13,15,14,12,16
985,13,16,11,14,11,15
986,15,14,18,16,11,16
987,16,14,17,12,12,9
988,14,15,13,16,7,14
989,18,12,14,16,18,15
990,17,13,14,16,14,8
991,12,13,18,7,11,14
992,16,11,14,13,17,11
993,10,12,15,16,10,11
994,17,16,11,10,9,14
995,17,12,15,14,14,8
996,15,10,13,14,15,14
997,11,15,13,16,14,12
